*** file   : simplis_048_shiftregistermultibit_source_u4_points.txt
*** example: simplis_048_shiftregistermultibit_example.sxsch
***
*
*						R	L							L
*T						F	F			A	A			D
*I		S	S	S	S	I	I	L		R	S	R	S	/
*M		C	C	C	C	L	L	/	E	S	E	S	E	S
*E		3	2	1	0	L	L	R	N	T	T	T	T	H
*===	=	=	=	=	=	=	=	=	=	=	=	=	=
0000	0	0	0	0	0	0	0	0	0	0	0	0	0
050n	0	0	0	0	0	0	0	1	0	0	0	0	1
150n	0	0	0	0	0	0	0	0	0	0	0	0	0
250n	0	1	0	0	0	0	0	1	0	0	0	0	0
350n	0	0	1	0	0	0	1	1	0	0	0	0	0
550n	0	0	1	0	0	1	0	1	0	0	0	0	0
650n	0	0	1	0	1	0	1	1	0	0	0	0	0
750n	0	0	0	0	0	0	1	1	0	0	0	0	0
850n	0	0	0	0	0	0	0	1	0	0	0	0	1
950n	0	0	0	0	0	0	0	0	0	0	0	0	0
1050n	0	0	0	0	0	0	0	0	0	0	0	1	0
1150n	0	0	0	0	0	0	0	0	0	0	1	0	0
1250n	0	0	0	0	0	0	0	1	0	0	0	0	1
1350n	0	0	0	0	0	0	0	0	0	0	1	1	0
1450n	0	0	0	0	0	0	0	0	0	0	0	0	0
1520n	0	0	0	0	0	0	0	0	0	1	0	0	0
1524n	0	0	0	0	0	0	0	0	0	0	0	0	0
1620n	0	0	0	0	0	0	0	0	1	0	0	0	0
1624n	0	0	0	0	0	0	0	0	0	0	0	0	0
1650n	0	0	0	0	0	0	0	1	0	0	0	0	1
1750n	0	0	0	0	0	0	0	0	0	0	0	0	0
1820n	0	0	0	0	0	0	0	0	1	1	0	0	0
1824n	0	0	0	0	0	0	0	0	0	0	0	0	0
